Method,Coefficient,Std Error,CI Lower,CI Upper,Gender Gap %,Cents per Dollar
OLS (No Controls),-0.214675293334088,0.006646695774084148,-0.22770286360128797,-0.20164772306688802,-19.319662791749682,80.68033720825032
OLS (Full Controls),-0.18374100853927292,0.005705043612038386,-0.194922934241346,-0.17255908283719984,-16.78487040001523,83.21512959998478
DML: Lasso + Logit,-0.17749065069462636,0.006220669195070538,-0.18968293827670238,-0.16529836311255033,-16.26311718839586,83.73688281160415
DML: Random Forest,-0.17535742690283018,0.005834049221828043,-0.18679195326164708,-0.1639229005440133,-16.084297013818105,83.9157029861819
DML: XGBoost,-0.1586772957694463,0.005813580177270107,-0.1700717035381317,-0.14728288800076092,-14.67283310777281,85.3271668922272
DML: LightGBM,-0.15735768721154716,0.005814672893058382,-0.16875423666382292,-0.14596113775927141,-14.560160322485071,85.43983967751493
